Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType
2017-09-15,144,Avalon Beach,2107,1550000,6.0,2,4.0,house
2017-09-14,145,Avalon Beach,2107,1950000,7.0,6,3.0,house
2017-09-13,146,Avalon Beach,2107,2005000,3.0,2,2.0,house
2017-09-13,147,Avalon Beach,2107,1630000,3.0,1,3.0,house
2017-09-13,148,Avalon Beach,2107,1495000,3.0,1,1.0,house
2017-09-13,149,Avalon Beach,2107,1420000,3.0,1,2.0,house
2017-09-12,150,Avalon Beach,2107,3450000,3.0,2,2.0,house
2017-09-02,151,Bilgola Plateau,2107,1637000,4.0,2,2.0,house
2017-09-01,152,Bilgola Plateau,2107,2825000,4.0,3,4.0,house
2017-08-23,153,Clareville,2107,2850000,4.0,2,2.0,house
2017-08-23,154,Bilgola Plateau,2107,1520000,2.0,1,,house
2017-08-22,155,Avalon Beach,2107,1380000,4.0,3,,house
2017-08-21,156,Whale Beach,2107,2400000,5.0,4,2.0,house
2017-08-21,157,Avalon Beach,2107,1252000,2.0,1,2.0,house
2017-08-19,158,Bilgola Plateau,2107,1575000,6.0,3,2.0,house
2017-08-16,159,Avalon Beach,2107,2200000,4.0,2,2.0,house
2017-08-16,160,Avalon Beach,2107,1680000,4.0,2,2.0,house
2017-08-11,161,Bilgola Plateau,2107,2625000,4.0,3,2.0,house
2017-08-10,162,Avalon Beach,2107,1620000,4.0,2,2.0,house
2017-08-05,163,Avalon Beach,2107,1650000,3.0,2,2.0,house
2017-08-04,164,Avalon Beach,2107,1400000,3.0,2,,house
2017-08-02,165,Avalon Beach,2107,1480000,4.0,2,2.0,house
2017-08-01,166,Avalon Beach,2107,1875000,4.0,3,2.0,house
2017-07-29,167,Clareville,2107,1620000,5.0,2,,house
2017-07-29,168,Avalon Beach,2107,1565000,6.0,3,3.0,house
2017-07-26,169,Avalon Beach,2107,2500000,4.0,3,2.0,house
2017-07-21,170,Avalon Beach,2107,1470000,3.0,2,2.0,house
2017-07-05,171,Bilgola Plateau,2107,1730000,5.0,2,1.0,house
2017-07-01,172,Avalon Beach,2107,1800000,5.0,3,2.0,house
2017-06-30,173,Clareville,2107,5750000,5.0,4,3.0,house
2017-06-24,174,Avalon Beach,2107,2050000,5.0,3,2.0,house
2017-06-24,175,Bilgola Plateau,2107,1460000,2.0,1,2.0,house
2017-06-24,176,Avalon Beach,2107,1343000,4.0,2,2.0,house
2017-06-23,177,Clareville,2107,4700000,3.0,3,2.0,house
2017-06-21,178,Avalon Beach,2107,1920000,4.0,2,3.0,house
2017-06-21,179,Avalon Beach,2107,1390000,3.0,2,2.0,house
2017-06-20,180,Avalon Beach,2107,1630000,4.0,3,2.0,house
2017-06-17,181,Bilgola Plateau,2107,1480000,3.0,1,1.0,house
2017-06-16,182,Avalon Beach,2107,1125000,3.0,1,1.0,house
2017-06-15,183,Avalon Beach,2107,1425000,3.0,1,2.0,house
2017-06-03,184,Avalon Beach,2107,2335000,3.0,3,4.0,house
2017-06-03,185,Bilgola Plateau,2107,1550000,4.0,2,2.0,house
2017-06-02,186,Whale Beach,2107,1550000,3.0,3,2.0,house
2017-05-27,187,Bilgola Plateau,2107,1621000,4.0,2,2.0,house
2017-05-26,188,Bilgola Plateau,2107,1465000,3.0,1,2.0,house
2017-05-24,189,Avalon Beach,2107,1930000,3.0,2,2.0,townhouse
2017-05-24,190,Bilgola Plateau,2107,1550000,3.0,3,2.0,house
2017-05-17,191,Avalon Beach,2107,1860000,4.0,3,2.0,house
2017-05-17,192,Avalon Beach,2107,1600000,4.0,2,2.0,house
2017-05-13,193,Avalon Beach,2107,1250000,3.0,2,,house
2017-05-11,194,Avalon Beach,2107,1350000,4.0,2,4.0,house
2017-05-06,195,Avalon Beach,2107,1660000,3.0,2,2.0,house
2017-05-03,196,Avalon Beach,2107,3150000,4.0,3,3.0,house
2017-05-03,197,Whale Beach,2107,3050000,4.0,4,2.0,house
2017-04-26,198,Avalon Beach,2107,1500000,4.0,2,2.0,house
2017-04-21,199,Avalon Beach,2107,2100000,3.0,1,2.0,house
2017-04-18,200,Avalon Beach,2107,2000000,4.0,2,2.0,house
2017-04-13,201,Avalon Beach,2107,1220000,3.0,1,1.0,house
2017-04-11,202,Bilgola Plateau,2107,1800000,3.0,2,1.0,house
2017-04-08,203,Bilgola Plateau,2107,1790000,5.0,2,,house
2017-04-08,204,Avalon Beach,2107,1592000,4.0,2,2.0,house
2017-04-08,205,Avalon Beach,2107,1550000,4.0,2,2.0,house
2017-04-07,206,Avalon Beach,2107,2000000,5.0,2,2.0,house
2017-04-07,207,Avalon Beach,2107,1390000,3.0,2,2.0,house
2017-04-04,208,Avalon Beach,2107,1300000,4.0,3,2.0,house
2017-04-01,209,Avalon Beach,2107,2255000,5.0,2,1.0,house
2017-03-31,210,Avalon Beach,2107,1610000,4.0,3,4.0,house
2017-03-29,211,Avalon Beach,2107,4730000,5.0,4,5.0,house
2017-03-29,212,Avalon Beach,2107,1490000,2.0,2,3.0,house
